"","onset","terminus","from","to","weight"
"1",1,2,1,1,969.365703504146
"2",2,3,1,1,611.541658664
"3",3,4,1,1,915.882576287
"4",4,5,1,1,995.58242711
"5",5,6,1,1,1575.6911595262
"6",6,7,1,1,770.507219256403
"7",7,8,1,1,431.905648921786
"8",1,2,1,2,3.18523059468892
"9",3,4,1,2,2.751019061
"10",4,5,1,2,6.942466507
"11",5,6,1,2,7.31550848262928
"12",6,7,1,2,5.41248385547418
"13",7,8,1,2,4.51016687686689
"14",1,2,1,3,14.8931790497691
"15",2,3,1,3,24.534422608
"16",3,4,1,3,19.968890448
"17",4,5,1,3,36.477260748
"18",5,6,1,3,28.7954077730313
"19",6,7,1,3,63.3128694627352
"20",7,8,1,3,11.7406330016435
"21",1,2,1,4,3.20038852245437
"22",2,3,1,4,5.874407243
"23",3,4,1,4,0.268235767
"24",4,5,1,4,1.378166577
"25",5,6,1,4,7.9521118428989
"26",6,7,1,4,2.07188307046497
"27",7,8,1,4,0.554916484531083
"28",1,2,1,5,9.3268299761502
"29",2,3,1,5,1.473117941
"30",3,4,1,5,10.185623304
"31",4,5,1,5,66.463340306
"32",5,6,1,5,27.638814422634
"33",6,7,1,5,15.5437626687817
"34",7,8,1,5,5.22301312277668
"35",1,2,1,6,10.6897108536007
"36",2,3,1,6,10.527521913
"37",3,4,1,6,13.228499469
"38",4,5,1,6,49.010238285
"39",5,6,1,6,23.1596344203768
"40",6,7,1,6,8.05231586408503
"41",7,8,1,6,15.2532861137079
"42",1,2,1,7,32.6661274131041
"43",2,3,1,7,38.890422062
"44",3,4,1,7,35.449196222
"45",4,5,1,7,199.155499187
"46",5,6,1,7,59.9261388766828
"47",6,7,1,7,53.6388895693234
"48",7,8,1,7,76.5351163329844
"49",1,2,1,8,70.4100110311466
"50",2,3,1,8,33.800633155
"51",3,4,1,8,31.213740951
"52",4,5,1,8,85.254416536
"53",5,6,1,8,49.5507519776221
"54",6,7,1,8,27.8497767299438
"55",7,8,1,8,27.4823694441737
"56",1,2,1,9,4.9476381424362
"57",2,3,1,9,18.634106726
"58",3,4,1,9,7.105925554
"59",4,5,1,9,21.179480846
"60",5,6,1,9,7.27320352119774
"61",6,7,1,9,7.67546261657885
"62",7,8,1,9,9.39681950819661
"65",4,5,1,10,7.786399712
"66",5,6,1,10,7.40594656317108
"67",6,7,1,10,4.29598489513386
"68",7,8,1,10,5.52115517794022
"70",4,5,1,11,17.024939215
"71",5,6,1,11,24.1686751258157
"72",6,7,1,11,14.0879001834389
"73",7,8,1,11,12.6102469444561
"74",1,2,2,1,3.25419371873847
"75",2,3,2,1,2.23163155
"76",3,4,2,1,18.236224493
"77",4,5,2,1,5.364464868
"78",5,6,2,1,12.273227069332
"79",6,7,2,1,11.5672533865906
"80",7,8,2,1,1.75299792888296
"81",1,2,2,2,530.150386741478
"82",2,3,2,2,320.210270357
"83",3,4,2,2,444.449641715
"84",4,5,2,2,355.155428859
"85",5,6,2,2,631.672122231292
"86",6,7,2,2,396.480400955051
"87",7,8,2,2,206.435021909868
"88",1,2,2,3,24.5216299375253
"89",2,3,2,3,92.377183707
"90",3,4,2,3,36.790670177
"91",4,5,2,3,66.248249833
"92",5,6,2,3,20.2184017007799
"93",6,7,2,3,70.9842742824795
"94",7,8,2,3,16.4924165626418
"95",1,2,2,4,2.2897209668356
"96",2,3,2,4,1.622757428
"97",3,4,2,4,2.81111674
"98",4,5,2,4,4.118627148
"99",5,6,2,4,1.60095873073075
"100",7,8,2,4,0.264987756457085
"101",1,2,2,5,2.26804432313899
"102",3,4,2,5,0.896409385
"103",4,5,2,5,0.749404013
"104",1,2,2,6,4.49616051148533
"105",2,3,2,6,0.685092587
"106",3,4,2,6,3.740827541
"107",4,5,2,6,3.572318957
"108",5,6,2,6,2.98536625753233
"109",6,7,2,6,0.295911021694075
"110",1,2,2,7,9.883936978394
"111",2,3,2,7,11.235138652
"112",3,4,2,7,17.305947559
"113",4,5,2,7,72.760013019
"114",5,6,2,7,11.4856906111221
"115",6,7,2,7,18.7901505239448
"116",7,8,2,7,22.6497580372448
"117",2,3,2,8,1.620314759
"118",3,4,2,8,2.323774325
"119",4,5,2,8,4.00170324
"120",3,4,2,9,2.078474501
"121",4,5,2,9,4.717806253
"122",5,6,2,9,1.77679833024966
"123",6,7,2,9,0.29024053575989
"124",7,8,2,9,0.684244468381063
"127",4,5,2,10,19.535072082
"128",5,6,2,10,9.41428887197443
"129",6,7,2,10,4.0144936894617
"130",7,8,2,10,1.97569667226243
"132",4,5,2,11,28.907500093
"133",5,6,2,11,20.5011949184407
"134",6,7,2,11,9.21977488950713
"135",7,8,2,11,4.64727155135178
"136",1,2,3,1,38.2144777540595
"137",2,3,3,1,28.86915821
"138",3,4,3,1,71.786837145
"139",4,5,3,1,35.312680485
"140",5,6,3,1,37.695951924551
"141",6,7,3,1,5.61229890804344
"142",7,8,3,1,16.1974018370743
"143",1,2,3,2,19.0650011746171
"144",2,3,3,2,41.641708888
"145",3,4,3,2,79.244591231
"146",4,5,3,2,35.689613917
"147",5,6,3,2,167.254743259292
"148",6,7,3,2,20.9274671855257
"149",7,8,3,2,19.5803385434488
"150",1,2,3,3,1016.9431450256
"151",2,3,3,3,732.053413433
"152",3,4,3,3,1013.399492687
"153",4,5,3,3,948.942233267
"154",5,6,3,3,1366.3601810426
"155",6,7,3,3,767.50723371129
"156",7,8,3,3,548.024978845305
"157",1,2,3,4,6.00445543160645
"158",2,3,3,4,0.543102109
"159",3,4,3,4,13.300267018
"160",4,5,3,4,10.977133078
"161",5,6,3,4,6.64741848662399
"162",6,7,3,4,3.01934427930365
"163",7,8,3,4,1.33554007140926
"164",1,2,3,5,1.11928800341561
"165",2,3,3,5,0.612330334
"166",3,4,3,5,6.157960226
"167",4,5,3,5,18.247508405
"168",5,6,3,5,14.2066893439406
"169",6,7,3,5,4.37594977661574
"170",7,8,3,5,3.68561976801568
"171",1,2,3,6,0.601058373873131
"172",2,3,3,6,1.00861599
"173",3,4,3,6,1.547192357
"174",4,5,3,6,6.733859952
"175",5,6,3,6,2.75189242849705
"176",6,7,3,6,2.1993416099299
"177",7,8,3,6,0.554916484531083
"178",1,2,3,7,14.9057629115973
"179",2,3,3,7,22.643272688
"180",3,4,3,7,48.506649543
"181",4,5,3,7,119.490903596
"182",5,6,3,7,59.2111557136203
"183",6,7,3,7,10.8867953806472
"184",7,8,3,7,37.1036830833723
"185",1,2,3,8,2.6246168853817
"186",2,3,3,8,1.330848144
"187",3,4,3,8,3.242393345
"188",4,5,3,8,6.139210887
"189",5,6,3,8,5.65950169090647
"190",7,8,3,8,2.13095019768003
"191",1,2,3,9,10.4534561727485
"192",2,3,3,9,4.59331667
"193",3,4,3,9,11.921633486
"194",4,5,3,9,9.213878769
"195",5,6,3,9,14.4552548104987
"196",6,7,3,9,5.30579840708154
"197",7,8,3,9,11.711248852522
"200",4,5,3,10,9.062399177
"201",5,6,3,10,18.6427788232029
"202",6,7,3,10,6.20803060755036
"203",7,8,3,10,4.33473306496868
"205",4,5,3,11,26.466548395
"206",5,6,3,11,28.3663335899284
"207",6,7,3,11,6.0698829817519
"208",7,8,3,11,7.84691782185418
"209",1,2,4,1,2.15996814011057
"210",2,3,4,1,4.56548829
"211",3,4,4,1,8.860191411
"212",4,5,4,1,2.775632481
"213",5,6,4,1,3.8713208858274
"214",6,7,4,1,3.54912231831564
"215",7,8,4,1,0.832985422520547
"216",1,2,4,2,2.70592923702949
"217",2,3,4,2,1.257396221
"218",3,4,4,2,2.056040605
"219",4,5,4,2,1.170228811
"220",5,6,4,2,10.4850864053036
"221",6,7,4,2,1.4103703941853
"222",1,2,4,3,12.7702409259931
"223",2,3,4,3,14.916915441
"224",3,4,4,3,7.587649234
"225",4,5,4,3,7.972167976
"226",5,6,4,3,11.442424026395
"227",6,7,4,3,11.0431268547798
